0
28,23
203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
203,203,203,123,124,203,203,203,203,203,203,203,203,203,203,203,203,203,124,203,5,5,203
203,203,124,122,123,124,124,123,124,124,123,124,124,124,123,124,124,124,123,124,123,5,203
203,203,124,121,122,122,121,122,121,121,121,122,122,121,121,123,122,123,124,124,124,203,203
203,203,124,122,121,123,124,123,123,124,124,124,123,123,123,123,124,5,5,123,123,203,203
203,203,124,121,124,203,203,203,203,203,203,203,5,124,5,203,203,203,5,124,124,203,203
203,203,123,121,124,203,203,203,203,203,203,203,5,124,5,203,203,203,123,122,123,203,203
203,203,124,121,123,203,203,203,203,203,203,5,120,5,203,203,203,203,124,121,123,203,203
203,203,123,121,124,203,203,203,203,203,203,119,119,5,203,203,203,203,123,122,123,203,203
203,203,124,121,123,123,203,203,203,203,120,119,120,203,203,203,203,203,124,122,124,203,203
203,203,123,121,121,123,203,5,203,119,119,120,203,203,203,203,203,5,124,121,123,203,203
203,203,124,124,121,124,5,5,119,120,119,119,203,203,203,203,5,124,123,122,124,203,203
203,203,5,123,121,123,124,124,119,119,120,203,203,203,203,5,124,5,124,122,124,203,203
203,203,5,123,121,124,5,5,119,203,203,203,203,203,120,119,5,203,124,121,123,203,203
203,203,5,124,121,123,203,203,203,203,203,203,120,119,119,5,203,203,123,122,124,203,203
203,203,5,123,121,123,203,203,203,203,203,203,119,5,120,203,203,203,124,121,123,203,203
203,203,124,121,121,123,203,203,203,203,203,120,119,119,203,203,203,203,123,122,124,123,203
203,203,123,122,122,123,203,203,203,203,119,119,119,120,203,203,203,203,124,121,122,124,203
203,203,123,121,121,123,203,203,203,5,5,120,120,203,203,203,203,203,123,124,124,123,203
203,203,123,121,123,203,203,203,203,119,119,5,203,203,203,203,203,203,5,5,123,124,203
203,203,124,121,123,203,203,203,5,120,119,203,203,203,203,203,203,203,5,123,122,123,203
203,203,123,122,123,203,203,203,5,124,5,203,203,203,203,203,203,5,5,124,121,123,203
203,203,123,122,123,123,203,5,124,5,203,203,203,203,203,203,5,5,5,123,124,203,203
203,203,123,123,121,124,123,124,124,124,123,124,123,123,5,5,5,123,123,122,124,203,203
203,5,5,123,124,121,121,122,121,122,122,123,121,124,124,123,124,122,123,123,5,5,203
203,5,5,5,123,123,123,124,123,124,124,123,123,124,123,124,123,123,5,5,5,5,5
203,5,5,5,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,5,5,5
203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,5,5
4
9,11,1,104,104,0,7,7,0,0,0,Catapult
10,10,1,104,104,0,7,7,0,0,0,Catapult
16,12,1,104,104,0,7,7,0,0,0,Catapult
15,13,0,80,80,0,5,5,0,0,0,Catapult
0
